holding_cost,order_fixed,stockout_penalty,learning_rate,n_steps,n_epochs,vf_coef,ent_coef,batch_size,rl_avg_profit,rl_avg_stockouts,rl_avg_inventory,train_time_s
0.5,5.0,10.0,3e-05,512,5,0.25,0.0,64,206.58369435202707,4394.717526529779,10.649498058322255,94.56860971450806
0.5,5.0,10.0,3e-05,512,5,0.25,0.01,64,282.7157589565203,0.0,67.18704401094618,86.1741373538971
0.5,5.0,10.0,3e-05,512,8,0.25,0.0,64,137.2167420183495,7291.30813967926,8.270214571188115,105.38155555725098
0.5,5.0,10.0,3e-05,512,8,0.25,0.01,64,269.23810218106627,1690.8851468904463,16.606335896825136,115.42919707298279
0.5,5.0,10.0,3e-05,2048,5,0.25,0.0,64,260.3639253709771,2316.660061784987,8.006297820341098,91.88848042488098
0.5,5.0,10.0,3e-05,2048,5,0.25,0.01,64,-28.102222658424086,14432.303679831466,0.9141178535506741,91.53255200386047
0.5,5.0,10.0,3e-05,2048,8,0.25,0.0,64,139.4182570824888,7339.514868713719,6.040926050419603,113.53772616386414
0.5,5.0,10.0,3e-05,2048,8,0.25,0.01,64,297.7722005495894,32.43193292951596,42.178870774360554,107.19510507583618
0.5,5.0,10.0,3e-05,1024,5,0.25,0.0,64,300.2670950035745,277.8542985629844,21.907640699621748,82.82391500473022
0.5,5.0,10.0,3e-05,1024,5,0.25,0.01,64,289.0155167901735,755.2092720333042,20.37079703030521,82.90001797676086
0.5,5.0,10.0,3e-05,1024,8,0.25,0.0,64,303.8264456437692,28.15314708838382,25.62797184957217,104.92952036857605
0.5,5.0,10.0,3e-05,1024,8,0.25,0.01,64,305.92201985315944,95.14652752333134,19.738785418027067,105.44201445579529
0.5,5.0,10.0,0.0001,512,5,0.25,0.0,64,299.63575707494317,466.9303758470207,18.007146214655002,83.58478474617004
0.5,5.0,10.0,0.0001,512,5,0.25,0.01,64,272.0441911389191,1660.041291399812,12.274258164318457,82.88988494873047
0.5,5.0,10.0,0.0001,512,8,0.25,0.0,64,169.48455560086842,5922.8508550720335,14.074059178636295,107.10719442367554
0.5,5.0,10.0,0.0001,512,8,0.25,0.01,64,293.48636598965805,181.1027144183649,36.59511588704096,105.79469680786133
0.5,5.0,10.0,0.0001,2048,5,0.25,0.0,64,257.3934886102844,2270.582011094816,11.118421713288312,84.61220002174377
0.5,5.0,10.0,0.0001,2048,5,0.25,0.01,64,246.95760447266306,2778.5880517854207,6.833639855364415,86.0621292591095
0.5,5.0,10.0,0.0001,2048,8,0.25,0.0,64,278.0440166394856,938.0363939408583,29.439499174405448,109.50503778457642
0.5,5.0,10.0,0.0001,2048,8,0.25,0.01,64,281.7798352927778,1251.79305444593,14.513850861018625,109.49071264266968
0.5,5.0,10.0,0.0001,1024,5,0.25,0.0,64,285.1131044003533,253.1479936708456,42.8758853217347,89.8519721031189
0.5,5.0,10.0,0.0001,1024,5,0.25,0.01,64,-100.08967732028268,17409.715343848664,1.0660310146583831,93.02020621299744
0.5,5.0,10.0,0.0001,1024,8,0.25,0.0,64,203.71310781772326,4687.030043797138,12.047454233975596,116.02150082588196
0.5,5.0,10.0,0.0001,1024,8,0.25,0.01,64,291.13177487242297,290.358734665544,36.57558340516809,109.42077398300171
0.5,5.0,50.0,3e-05,512,5,0.25,0.0,64,300.9804972845319,0.0,37.19212206749067,90.85586547851562
